Category Name,Order Region,Order Profit Per Order
Fishing,Southeast Asia,46.81802655190614
Fishing,Central America,47.57909335889653
Golf Shoes,Central Africa,47.62428651571429
Cameras ,Southern Europe,47.792966577033894
Women's Golf Clubs,Caribbean,48.59500039616666
Fishing,South of  USA ,49.22492221486198
Soccer,Central America,49.333888585472224
Golf Shoes,East Africa,49.7649990325
Cardio Equipment,Central Asia,50.51447365821053
Fishing,US Center ,51.4116976514521
Fitness Accessories,Southern Europe,51.56000076814286
As Seen on  TV!,Western Europe,52.0623804492381
Tennis & Racquet,East Africa,52.90999985
Fishing,East of USA,53.188343092055234
Fishing,West Africa,54.401787368128
Cardio Equipment,Central Africa,54.567999584043484
Golf Shoes,Canada,55.32999927666666
Consumer Electronics,Oceania,55.64263150602631
Hunting & Shooting,Southern Africa,58.5
Cameras ,Northern Europe,60.76116746717518
Children's Clothing,South Asia,61.671428271904766
Crafts,South Asia,61.803749632187504
Fishing,Southern Africa,61.817841037248
Garden,Oceania,63.34184875890757
Children's Clothing,Eastern Asia,63.50772590436363
Crafts,Southeast Asia,63.51430548888888
Soccer,South America,64.91909044272728
Computers,South Asia,67.38500104999999
Strength Training,Southern Europe,70.68500302583334
Crafts,Western Europe,73.568320518456
Garden,South Asia,74.49081389219768
Boxing & MMA,Caribbean,75.30368479842106
Tennis & Racquet,Central Asia,90.37999725
Fishing,Canada,95.18072528065217
Garden,Southeast Asia,100.07960342615873
Computers,Western Europe,107.0350740017734
Basketball,Northern Europe,113.38000144899999
Cameras ,Southeast Asia,120.88999922166666
Computers,Northern Europe,194.72567701824326
Cameras ,Oceania,209.36000065000002
Computers,Southern Europe,220.16397395013698
Computers,Southeast Asia,228.9897147057143
Computers,Eastern Asia,347.4328095953125
